,Season,Rank,Player,Pos,Age,G,MP,PTS,AST,TRB,STL,BLK,FG%,eFG%,FT%,PF,WS,WS/48,First,Pts Won,Pts Max,Share,MVP,raptor_offense,raptor_defense,predator_offense,predator_defense
90,2001,15T,Michael Finley,SF,27,82,42.0,21.5,4.4,5.2,1.4,0.4,0.458,0.487,0.775,2.1,8.5,0.119,0,1,1240,0.001,0,0.828121713,-1.331816177,1.419562178,-1.121389245
91,2001,15T,Anthony Mason,PF,34,80,40.7,16.1,3.1,9.6,1.0,0.3,0.482,0.482,0.781,2.9,11.6,0.171,0,1,1240,0.001,0,-4.995687095,-2.821185809,-5.524985324,-2.980871082
92,2001,15T,John Stockton,PG,38,82,29.2,11.5,8.7,2.8,1.6,0.3,0.504,0.551,0.817,2.4,10.8,0.216,0,1,1240,0.001,0,9.403281479,4.50521646,8.789171139,5.084722187
93,2002,1,Tim Duncan,PF,25,82,40.6,25.5,3.7,12.7,0.7,2.5,0.508,0.508,0.799,2.6,17.8,0.257,57,954,1260,0.757,1,3.778704876,5.096857654,4.039963836,3.923733465
94,2002,2,Jason Kidd,PG,28,82,37.3,14.7,9.9,7.3,2.1,0.2,0.391,0.442,0.814,1.7,8.9,0.14,45,897,1260,0.7120000000000001,0,5.512569174,1.436640036,5.569145697,1.591668097
95,2002,3,Shaquille O'Neal,C,29,67,36.1,27.2,3.0,10.7,0.6,2.0,0.579,0.579,0.555,3.0,13.2,0.262,15,696,1260,0.552,0,3.34688525,3.380948919,3.589472161,2.560951438
96,2002,4,Tracy McGrady,SG,22,76,38.3,25.6,5.3,7.9,1.6,1.0,0.451,0.483,0.748,1.8,11.5,0.189,7,390,1260,0.31,0,5.020059473,-0.233764326,4.670661506,-0.456620971
97,2002,5,Kobe Bryant,SG,23,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.479,0.829,2.9,12.7,0.199,1,98,1260,0.078,0,3.512405598,0.140788375,3.798249295,0.637422686
98,2002,6,Gary Payton,PG,33,82,40.3,22.1,9.0,4.8,1.6,0.3,0.467,0.49,0.797,2.2,12.6,0.183,1,54,1260,0.043,0,2.149647626,-1.469302852,2.673215551,-0.990379151
99,2002,7,Chris Webber,PF,28,54,38.4,24.5,4.8,10.1,1.7,1.4,0.495,0.497,0.749,3.4,8.6,0.2,0,37,1260,0.0289999999999999,0,1.885529411,0.373285863,2.100826811,0.540480735
100,2002,8,Dirk Nowitzki,C,23,76,38.0,23.4,2.4,9.9,1.1,1.0,0.477,0.532,0.853,2.9,13.4,0.222,0,31,1260,0.025,0,3.71624219,-0.393006034,4.540172649,0.43603692
101,2002,9,Allen Iverson,SG,26,60,43.7,31.4,5.5,4.5,2.8,0.2,0.398,0.422,0.812,1.7,6.9,0.126,0,29,1260,0.023,0,4.620031313,-0.088727253,5.06450808,0.471251879
102,2002,10,Ben Wallace,C,27,80,36.5,7.6,1.4,13.0,1.7,3.5,0.531,0.531,0.423,2.2,11.6,0.19,0,24,1260,0.019,0,-1.65002813,7.320998578,-1.478430939,6.900132639
103,2002,11,Paul Pierce,SG,24,82,40.3,26.1,3.2,6.9,1.9,1.0,0.442,0.508,0.809,2.9,12.9,0.187,0,22,1260,0.017,0,3.282915423,1.255346729,3.499991107,1.299653086
104,2002,12,Kevin Garnett,PF,25,81,39.2,21.2,5.2,12.1,1.2,1.6,0.47,0.484,0.801,2.3,12.8,0.194,0,17,1260,0.013,0,2.581096867,3.327343519,2.968342271,3.023467148
105,2002,13,Michael Jordan,SF,38,60,34.9,22.9,5.2,5.7,1.4,0.4,0.416,0.42,0.79,2.0,3.3,0.075,0,16,1260,0.013,0,1.048079643,-1.164776045,1.601696488,-0.9322201
106,2002,14,Steve Nash,PG,27,82,34.6,17.9,7.7,3.1,0.6,0.0,0.483,0.554,0.887,2.0,9.9,0.167,0,5,1260,0.004,0,4.809742605,-1.292945157,4.807230762,-1.76851618
107,2002,15,Jerry Stackhouse,SF,27,76,35.3,21.4,5.3,4.1,1.0,0.5,0.397,0.43,0.858,2.1,5.8,0.104,0,3,1260,0.002,0,-0.793495698,-0.207658699,-0.689652314,-0.539063246
108,2002,16T,Mike Bibby,PG,23,80,33.2,13.7,5.0,2.8,1.1,0.2,0.453,0.479,0.803,1.7,6.3,0.113,0,1,1260,0.001,0,2.700582897,0.392765097,2.694438426,0.53334153
109,2002,16T,Elton Brand,PF,22,80,37.8,18.2,2.4,11.6,1.0,2.0,0.527,0.527,0.742,3.2,13.6,0.216,0,1,1260,0.001,0,4.08102442,0.750138857,3.833756175,1.145210667
110,2002,16T,Peja Stojakovic,SF,24,71,37.3,21.2,2.5,5.3,1.1,0.2,0.484,0.541,0.876,1.7,9.9,0.179,0,1,1260,0.001,0,-0.304650594,-2.166832173,-0.1039955,-2.394911423
111,2003,1,Tim Duncan,PF,26,81,39.3,23.3,3.9,12.9,0.7,2.9,0.513,0.515,0.71,2.9,16.5,0.248,60,962,1190,0.8079999999999999,1,4.943818438,5.030131355,4.59466796,4.517212076
112,2003,2,Kevin Garnett,PF,26,82,40.5,23.0,6.0,13.4,1.4,1.6,0.502,0.508,0.751,2.4,15.6,0.225,43,871,1190,0.732,0,2.130141485,4.883526101,2.54359607,4.923711652
